fuente,estacion,nombre,municipio,lat,lon,temperatura,humedad,dpv,nivel,estado
AVAMET,AdemuzIES Ademuz,AdemuzIES Ademuz,Ademuz,40.059977777777775,-1.285122222222222,26.4,44.0,1.93,,con datos
AEMET,Alacant/Alicante,Alacant/Alicante,Alacant/Alicante,38.3452,-0.481,31.7,38.0,2.9,,con datos
Meteoclimatic,Albal,Albal,Albal,39.39,-0.41,30.5,50.0,2.18,,con datos
Meteoclimatic,Albalat de la Ribera,Albalat de la Ribera,Albalat de la Ribera,39.2,-0.39,30.3,52.0,2.07,,con datos
Meteoclimatic,Alberic - Nord,Alberic - Nord,Alberic,39.13,-0.52,33.7,37.0,3.3,,con datos
AEMET,Alcoi/Alcoy,Alcoi/Alcoy,Alcoi/Alcoy,38.6987,-0.4737,32.9,27.0,3.65,,con datos
AEMET,Alicante-Elche Aeropuerto,Alicante-Elche Aeropuerto,Alicante-Elche,38.2822,-0.5582,30.0,52.0,2.04,,con datos
Meteoclimatic,Almiserà,Almiserà,Almiserà,38.92,-0.29,31.6,57.0,2.0,,con datos
AVAMET,AlziraAjuntament,AlziraAjuntament,Alzira,39.15194722222222,-0.4430222222222222,25.9,69.0,1.04,,con datos
AVAMET,Anna,Anna,Anna,39.01931388888889,-0.6476388888888889,27.1,69.0,1.11,,con datos
AVAMET,AyoraSan Benito,AyoraSan Benito,Ayora,38.92916944444444,-1.102363888888889,25.8,60.0,1.33,,con datos
AVAMET,Barx,Barx,Barx,39.0139,-0.3014,22.9,76.0,0.67,,con datos
Meteoclimatic,Barxeta,Barxeta,Barxeta,39.02,-0.42,32.0,43.0,2.71,,con datos
AEMET,Benidorm,Benidorm,Benidorm,38.5411,-0.1225,32.8,36.0,3.18,,con datos
Meteoclimatic,Benigànim,Benigànim,Benigànim,38.95,-0.45,33.4,49.0,2.62,,con datos
Meteoclimatic,Benimodo,Benimodo,Benimodo,39.21,-0.53,31.7,48.0,2.43,,con datos
AVAMET,BicorpEcomuseo,BicorpEcomuseo,Bicorp,39.1317,-0.7879,24.4,4.0,2.93,,con datos
AVAMET,Buñol,Buñol,Buñol,39.4194,-0.7906,24.8,65.0,1.1,,con datos
AVAMET,Bétera,Bétera,Bétera,39.590900000000005,-0.4602,25.3,61.0,1.26,,con datos
AVAMET,CamporroblesAyuntamiento,CamporroblesAyuntamiento,Camporrobles,39.6487,-1.3957,22.3,9.0,2.45,,con datos
AEMET,Carcaixent,Carcaixent,Carcaixent,39.1217,-0.4489,34.5,26.0,4.05,,con datos
AVAMET,Carlet,Carlet,Carlet,39.229400000000005,-0.5076138888888889,27.4,63.0,1.35,,con datos
AEMET,Castellfort,Castellfort,Castellfort,40.5028,-0.1917,27.1,30.0,2.51,,con datos
Meteoclimatic,Castelló,Castelló,Castelló,39.08,-0.51,35.7,35.0,3.8,,con datos
AEMET,Castelló - Almassora,Castelló - Almassora,Castelló/Almassora,39.956,-0.065,32.0,46.0,2.57,,con datos
AEMET,Chelva,Chelva,Chelva,39.7494,-0.9967,32.6,32.0,3.34,,con datos
Meteoclimatic,Cheste,Cheste,Cheste,39.49,-0.68,33.3,35.0,3.33,,con datos
AVAMET,Cofrentes,Cofrentes,Cofrentes,39.232800000000005,-1.0617,24.6,63.0,1.14,,con datos
AVAMET,Cortes de PallásAyuntamiento,Cortes de PallásAyuntamiento,Cortes de Pallás,39.2456,-0.9408,18.6,23.0,1.65,,con datos
Meteoclimatic,Cullera - Dosser,Cullera - Dosser,Cullera,39.19,-0.23,27.9,78.0,0.83,,con datos
AVAMET,Dos Aguas,Dos Aguas,Dos Aguas,39.2898,-0.7986,24.8,61.0,1.22,,con datos
